date,open,high,low,close,volume,log_close,log_return,pct_return,cum_log_return,cum_pct_return,slope,slope_zscore,slope_fast,slope_slow,slope_fast_zscore,slope_slow_zscore,sma_fast,sma_slow,volatility,vol_percentile,vol_trend,rsi,returns_zscore,ulcer_index,trend_signal,regime_signal,vol_adj_signal,risk_scalar,raw_signal,constrained_signal,signal,exposure,asset_return,position_change,transaction_costs,gross_return,strategy_return,equity,bh_equity,peak,drawdown,bh_drawdown
2011-01-03,138.67,139.0,137.88,138.0,11510100,4.927253685157205,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,100000.0,100000.0,100000.0,0.0,0.0
2011-01-04,136.24,136.28,134.16,134.75,26154200,4.903421209789107,-0.023832475368098294,-0.023550724637681153,-0.023832475368098294,-0.023550724637681153,,,,,,,,,,,,0.0,,,,,,1.0,,,,,-0.023550724637681153,,,,,100000.0,97644.92753623189,100000.0,0.0,-0.023550724637681125
2011-01-05,133.5,134.68,133.1,134.37,16700800,4.9005971888873185,-0.002824020901788238,-0.002820037105751405,-0.02665649626988653,-0.026304347826086927,,,,,,,,,,,,0.0,,,,,,1.0,,,,,-0.002820037105751405,,,,,100000.0,97369.56521739131,100000.0,0.0,-0.02630434782608689
2011-01-06,134.06,134.38,133.14,133.83,15969200,4.896570337808283,-0.004026851079035332,-0.004018754186202234,-0.030683347348921863,-0.03021739130434775,,,,,,,,,,,,0.0,,,,,,1.0,,,,,-0.004018754186202234,,,,,100000.0,96978.26086956523,100000.0,0.0,-0.030217391304347693
2011-01-07,133.38,134.61,133.18,133.58,16761700,4.89470054929749,-0.0018697885107927803,-0.0018680415452440036,-0.032553135859714644,-0.03202898550724631,,,,,,,,,,,,0.0,,,,,,1.0,,,,,-0.0018680415452440036,,,,,100000.0,96797.10144927537,100000.0,0.0,-0.032028985507246255
2011-01-10,133.84,134.2,133.24,134.12,8429800,4.898734921598028,0.004034372300537825,0.004042521335529292,-0.02851876355917682,-0.028115942028985375,,,,,,,,,,,,3.5617174296767473,,,,,,1.0,,,,,0.004042521335529292,,,,,100000.0,97188.40579710146,100000.0,0.0,-0.028115942028985447
2011-01-11,134.79,135.16,133.96,134.91,10271700,4.904607889450726,0.005872967852697641,0.005890247539516835,-0.022645795706479177,-0.02239130434782599,,,,,,,,,,,,9.031044650222185,,,,,,1.0,,,,,0.005890247539516835,,,,,100000.0,97760.8695652174,100000.0,0.0,-0.022391304347825935
2011-01-12,134.79,135.58,134.35,135.46,10789600,4.908676393786758,0.004068504336031786,0.004076791935364366,-0.01857729137044739,-0.018405797101449184,,,,,,,,,,,,12.994855108469991,,,,,,1.0,,,,,0.004076791935364366,,,,,100000.0,98159.42028985509,100000.0,0.0,-0.018405797101449135
2011-01-13,135.66,135.68,133.63,134.05,14302700,4.898212864681969,-0.010463529104788982,-0.010408976819725302,-0.029040820475236373,-0.028623188405796918,,,,,,,,,,,,11.511164759613152,,,,,,1.0,,,,,-0.010408976819725302,,,,,100000.0,97137.6811594203,100000.0,0.0,-0.028623188405796973
2011-01-14,133.17,133.6,132.22,132.69,21226500,4.888015580548345,-0.010197284133623974,-0.010145468108914701,-0.03923810460886035,-0.038478260869565184,,,,,,,,,,,,10.213363154545249,,,,,,1.0,,,,,-0.010145468108914701,,,,,100000.0,96152.17391304349,100000.0,0.0,-0.03847826086956513
